median_HHI_2019,bach_deg_pct_14to18,pop_density_per_mile,change_in_pop_decade,perc_female,perc_hispanic,brewery_per_1M_people,unemployment_rate,perc_age_25_39,LargestList
57907,30.9,1163.03589,0.04,0.52,0.09,31.29396268,3.7,0.23,FALSE
89236,37.8,717.3392097,0.10,0.51,0.03,9.949704245,2.5,0.2,FALSE
70161,43.2,1957.867271,0.00,0.53,0.03,10.05828778,3.1,0.19,FALSE
46309,35,4855.126072,-0.06,0.52,0.04,66.53891196,3.9,0.28,FALSE
51732,26,30.15612874,0.00,0.50,0.05,49.16058304,3.4,0.21,FALSE
61334,29.9,20.40348608,0.12,0.50,0.03,86.70019074,4.7,0.19,FALSE
73731,49,43.96760427,0.22,0.48,0.04,131.0799238,2.3,0.24,FALSE
66075,38.6,20.07385161,0.09,0.51,0.03,72.01290471,3,0.19,FALSE
57279,42.5,46.11663962,0.09,0.50,0.03,83.61204013,3.2,0.23,FALSE
51740,32.4,5.924233597,0.06,0.50,0.03,180.6575936,3.4,0.18,FALSE
57209,27.1,18.32257622,0.08,0.50,0.04,91.31169246,4,0.15,FALSE
49249,26.4,48.59584928,0.02,0.50,0.05,85.92295575,3.8,0.18,FALSE
61435,31,61.25407949,0.08,0.51,0.06,43.39739616,3.2,0.21,FALSE
67264,38.9,1739.43767,0.09,0.51,0.13,19.2534223,3.3,0.23,FALSE
61383,38.8,380.9811497,0.11,0.50,0.07,34.47303269,2.8,0.21,FALSE
62131,23.9,287.2375112,0.14,0.50,0.32,7.499840077,4,0.22,FALSE
71733,30.5,74.81618808,0.11,0.50,0.25,42.41610624,3.2,0.22,FALSE
64495,33.6,52.53146679,0.02,0.51,0.02,122.6742997,2.5,0.14,FALSE
65326,32.6,107.6684686,-0.01,0.51,0.02,78.85917066,2.6,0.18,FALSE
62468,40.5,52.60339582,0.01,0.51,0.03,77.87642124,2.2,0.18,FALSE
82862,37.3,475.9804095,0.04,0.50,0.07,26.37731551,2.6,0.2,FALSE
75800,35.6,162.0687366,0.03,0.51,0.02,59.44871227,2.3,0.19,FALSE
91416,40.7,445.8904307,0.05,0.51,0.03,58.10781582,2.7,0.18,FALSE
