BestList,median_HHI_2019,bach_deg_pct_14to18,pop_density_per_mile,change_in_pop_decade,perc_female,perc_hispanic,unemployment_rate,perc_age_25_39,brewery_per_1M_people
FALSE,66560,66560,775.6733589,0.0827,0.507,0.108,2.9,0.2283,60.88697095
FALSE,81257,81257,1449.392218,0.0439,0.51,0.043,3.4,0.1983,24.65044085
FALSE,65051,65051,1823.727158,0.0378,0.513,0.028,4.2,0.1975,12.58621558
FALSE,65051,65051,1823.727158,0.0378,0.513,0.028,4.2,0.1975,12.58621558
FALSE,50659,50659,270.1925329,-0.0222,0.511,0.058,4,0.1766,104.3017973
FALSE,55466,55466,131.3459319,-0.0146,0.495,0.082,3.9,0.177,30.47201146
FALSE,66560,66560,775.6733589,0.0827,0.507,0.108,2.9,0.2283,60.88697095
FALSE,69827,69827,517.9185294,0.096,0.506,0.102,2.8,0.1852,68.53305006
FALSE,67703,67703,111.2834754,0.0386,0.496,0.031,3.2,0.1751,32.49390739
FALSE,50659,50659,270.1925329,-0.0222,0.511,0.058,4,0.1766,104.3017973
FALSE,81257,81257,1449.392218,0.0439,0.51,0.043,3.4,0.1983,24.65044085
FALSE,68652,68652,3615.490237,0.0757,0.512,0.075,3,0.2379,41.79378944
FALSE,60228,60228,31.86445051,-0.0058,0.499,0.018,4,0.1771,55.25694479
FALSE,60228,60228,31.86445051,-0.0058,0.499,0.018,4,0.1771,55.25694479
FALSE,51134,51134,37.99285143,0.0069,0.504,0.121,3.6,0.201,81.14607769
FALSE,80631,80631,242.2793943,0.0887,0.512,0.052,2.6,0.2171,31.58699374
FALSE,60384,60384,65.1139281,0.0393,0.503,0.015,4.3,0.1713,92.22965183
FALSE,83363,83363,843.7649228,0.0731,0.5,0.049,3.1,0.2034,28.01740441
FALSE,82323,82323,2286.603287,0.0896,0.505,0.07,2.8,0.2458,33.96945751
FALSE,89075,89075,763.1544307,0.071,0.506,0.076,2.9,0.2033,20.97799408
FALSE,82323,82323,2286.603287,0.0896,0.505,0.07,2.8,0.2458,33.96945751
FALSE,60408,60408,90.464054,0.0538,0.497,0.039,2.8,0.1971,14.78131051
FALSE,91374,91374,209.2002957,0.0988,0.494,0.031,3.3,0.19,21.67990345
FALSE,63395,63395,100.1442563,0.0596,0.5,0.028,3.9,0.2227,24.45645528
FALSE,68652,68652,3615.490237,0.0757,0.512,0.075,3,0.2379,41.79378944
FALSE,49619,49619,362.5125001,0.1008,0.511,0.056,5.2,0.2072,9.611687812
FALSE,46309,46309,4855.126072,-0.0623,0.516,0.042,3.9,0.2777,66.53891196
FALSE,41327,41327,61.14854701,-0.0074,0.514,0.022,4.7,0.1851,23.541598
FALSE,46309,46309,4855.126072,-0.0623,0.516,0.042,3.9,0.2777,66.53891196
FALSE,70705,70705,629.1197036,0.1121,0.509,0.071,2.9,0.2193,20.00416087
FALSE,46309,46309,4855.126072,-0.0623,0.516,0.042,3.9,0.2777,66.53891196
