BestList,median_HHI_2019,bach_deg_pct_14to18,pop_density_per_mile,change_in_pop_decade,perc_female,perc_hispanic,unemployment_rate,perc_age_25_39,brewery_per_1M_people,brewery_count
FALSE,68652,68652,3615.490237,0.0757,0.512,0.075,3,0.2379,41.79378944,23
FALSE,60228,60228,31.86445051,-0.0058,0.499,0.018,4,0.1771,55.25694479,11
FALSE,60228,60228,31.86445051,-0.0058,0.499,0.018,4,0.1771,55.25694479,11
FALSE,51134,51134,37.99285143,0.0069,0.504,0.121,3.6,0.201,81.14607769,11
FALSE,80631,80631,242.2793943,0.0887,0.512,0.052,2.6,0.2171,31.58699374,5
FALSE,60384,60384,65.1139281,0.0393,0.503,0.015,4.3,0.1713,92.22965183,6
FALSE,83363,83363,843.7649228,0.0731,0.5,0.049,3.1,0.2034,28.01740441,10
FALSE,82323,82323,2286.603287,0.0896,0.505,0.07,2.8,0.2458,33.96945751,43
FALSE,89075,89075,763.1544307,0.071,0.506,0.076,2.9,0.2033,20.97799408,9
FALSE,82323,82323,2286.603287,0.0896,0.505,0.07,2.8,0.2458,33.96945751,43
FALSE,91374,91374,209.2002957,0.0988,0.494,0.031,3.3,0.19,21.67990345,3
FALSE,68652,68652,3615.490237,0.0757,0.512,0.075,3,0.2379,41.79378944,23
FALSE,46309,46309,4855.126072,-0.0623,0.516,0.042,3.9,0.2777,66.53891196,20
FALSE,46309,46309,4855.126072,-0.0623,0.516,0.042,3.9,0.2777,66.53891196,20
FALSE,70705,70705,629.1197036,0.1121,0.509,0.071,2.9,0.2193,20.00416087,5
FALSE,46309,46309,4855.126072,-0.0623,0.516,0.042,3.9,0.2777,66.53891196,20
FALSE,57907,57907,1163.03589,0.041,0.516,0.092,3.7,0.2258,31.29396268,22
FALSE,46309,46309,4855.126072,-0.0623,0.516,0.042,3.9,0.2777,66.53891196,20
FALSE,57907,57907,1163.03589,0.041,0.516,0.092,3.7,0.2258,31.29396268,22
FALSE,51732,51732,30.15612874,0.0005,0.495,0.047,3.4,0.2061,49.16058304,4
FALSE,67264,67264,1739.43767,0.0949,0.507,0.129,3.3,0.2282,19.2534223,11
FALSE,67264,67264,1739.43767,0.0949,0.507,0.129,3.3,0.2282,19.2534223,11
FALSE,67264,67264,1739.43767,0.0949,0.507,0.129,3.3,0.2282,19.2534223,11
FALSE,61383,61383,380.9811497,0.1056,0.498,0.074,2.8,0.2064,34.47303269,11
FALSE,71733,71733,74.81618808,0.1063,0.495,0.25,3.2,0.2192,42.41610624,20
FALSE,72905,72905,342.8228483,0.1137,0.501,0.5,4.2,0.2076,13.3573712,33
FALSE,71733,71733,74.81618808,0.1063,0.495,0.25,3.2,0.2192,42.41610624,20
FALSE,75800,75800,162.0687366,0.0327,0.506,0.023,2.3,0.1871,59.44871227,9
FALSE,82862,82862,475.9804095,0.0391,0.503,0.073,2.6,0.2042,26.37731551,11
FALSE,82862,82862,475.9804095,0.0391,0.503,0.073,2.6,0.2042,26.37731551,11
FALSE,82862,82862,475.9804095,0.0391,0.503,0.073,2.6,0.2042,26.37731551,11
FALSE,102579,102579,1319.974914,-0.0187,0.513,0.111,3.2,0.1649,19.39252903,12
FALSE,66565,66565,366.0694044,-0.0568,0.513,0.081,7.2,0.1538,65.18975652,6
FALSE,87996,87996,905.6877999,0.0115,0.514,0.067,3.7,0.1875,24.00252369,7
FALSE,92770,92770,2670.846902,0.0184,0.506,0.221,3.1,0.2027,4.848120505,4
FALSE,88443,88443,557.6789185,-0.0076,0.508,0.085,3.3,0.1898,17.96343991,8
FALSE,88443,88443,557.6789185,-0.0076,0.508,0.085,3.3,0.1898,17.96343991,8
