Index,BestList,median_HHI_2019,bach_deg_pct_14to18,pop_density_per_mile,change_in_pop_decade,perc_female,perc_hispanic,brewery_count,unemployment_rate,perc_age_25_39
281,FALSE,68652,68652,3615.490237,0.0757,0.512,0.075,23,3,0.2379
282,FALSE,60228,60228,31.86445051,-0.0058,0.499,0.018,11,4,0.1771
283,FALSE,60228,60228,31.86445051,-0.0058,0.499,0.018,11,4,0.1771
284,FALSE,51134,51134,37.99285143,0.0069,0.504,0.121,11,3.6,0.201
285,FALSE,80631,80631,242.2793943,0.0887,0.512,0.052,5,2.6,0.2171
286,FALSE,60384,60384,65.1139281,0.0393,0.503,0.015,6,4.3,0.1713
287,FALSE,83363,83363,843.7649228,0.0731,0.5,0.049,10,3.1,0.2034
288,FALSE,82323,82323,2286.603287,0.0896,0.505,0.07,43,2.8,0.2458
289,FALSE,89075,89075,763.1544307,0.071,0.506,0.076,9,2.9,0.2033
290,FALSE,82323,82323,2286.603287,0.0896,0.505,0.07,43,2.8,0.2458
291,FALSE,60408,60408,90.464054,0.0538,0.497,0.039,1,2.8,0.1971
292,FALSE,91374,91374,209.2002957,0.0988,0.494,0.031,3,3.3,0.19
293,FALSE,63395,63395,100.1442563,0.0596,0.5,0.028,1,3.9,0.2227
294,FALSE,68652,68652,3615.490237,0.0757,0.512,0.075,23,3,0.2379
295,FALSE,49619,49619,362.5125001,0.1008,0.511,0.056,2,5.2,0.2072
296,FALSE,46309,46309,4855.126072,-0.0623,0.516,0.042,20,3.9,0.2777
297,FALSE,41327,41327,61.14854701,-0.0074,0.514,0.022,1,4.7,0.1851
298,FALSE,46309,46309,4855.126072,-0.0623,0.516,0.042,20,3.9,0.2777
299,FALSE,70705,70705,629.1197036,0.1121,0.509,0.071,5,2.9,0.2193
300,FALSE,46309,46309,4855.126072,-0.0623,0.516,0.042,20,3.9,0.2777
301,FALSE,57907,57907,1163.03589,0.041,0.516,0.092,22,3.7,0.2258
302,FALSE,46309,46309,4855.126072,-0.0623,0.516,0.042,20,3.9,0.2777
303,FALSE,57907,57907,1163.03589,0.041,0.516,0.092,22,3.7,0.2258
304,FALSE,84456,84456,248.5018682,0.1446,0.506,0.063,2,2.7,0.2093
305,FALSE,43946,43946,0.778456407,-0.0156,0.488,0.018,1,3.5,0.1332
306,FALSE,43669,43669,5.530159018,0.0147,0.499,0.033,2,7.2,0.1337
307,FALSE,51732,51732,30.15612874,0.0005,0.495,0.047,4,3.4,0.2061
308,FALSE,69095,69095,5.183425514,0.0978,0.479,0.055,1,2.7,0.1999
309,FALSE,57585,57585,5.234802234,0.0603,0.494,0.024,1,3.4,0.1411
310,FALSE,67264,67264,1739.43767,0.0949,0.507,0.129,11,3.3,0.2282
311,FALSE,67264,67264,1739.43767,0.0949,0.507,0.129,11,3.3,0.2282
312,FALSE,67264,67264,1739.43767,0.0949,0.507,0.129,11,3.3,0.2282
313,FALSE,60924,60924,13.61664355,-0.0394,0.504,0.091,1,3.5,0.1802
314,FALSE,64759,64759,51.29468491,0.0716,0.5,0.093,1,2.6,0.1984
